ID,question,answer
5905FxXz9dI_30_000-40_000.wav,Does this audio indicate the presence of cough?,No
68NBE04Mlws_140_000-150_000.wav,Does this audio indicate the presence of speech?,yes
707CXFQe114_0_000-10_000.wav,Does this audio indicate the presence of sneeze?,no
A5LNrdkqYlw_170_000-180_000.wav,Does this audio indicate the presence of cough?,no
ddUS4K1-v48_10_000-20_000.wav,Does this audio indicate the presence of throat-clearing?,no
dFsBHaRghCU_30_000-40_000.wav,Does this audio indicate the presence of sneeze?,yes
dmhmAfqxL7M_40_000-50_000.wav,Does this audio indicate the presence of silence?,yes
dMnSld05oUU_10_000-20_000.wav,Does this audio indicate the presence of silence?,yes
DOGlFJ8LIhY_20_000-30_000.wav,Does this audio indicate the presence of throat-clearing?,no
DpXBWHg2O84_220_000-230_000.wav,Does this audio indicate the presence of cough?,No
DqA9RP4jBYE_0_000-10_000.wav,Does this audio indicate the presence of cough?,no
dQhu7oGeQNQ_17_000-27_000.wav,Does this audio indicate the presence of cough?,no
dRsxH6oedM4_100_000-110_000.wav,Does this audio indicate the presence of cough?,no
dtuhGj7owcg_0_000-10_000.wav,Does this audio indicate the presence of sneeze?,no
dU5HKK7V3wk_30_000-40_000.wav,Does this audio indicate the presence of breathe?,yes
Dua7mYA_yo4_3_000-13_000.wav,Does this audio indicate the presence of sniffle?,no
dUFlhQxWr5E_120_000-130_000.wav,Does this audio indicate the presence of cough?,yes
dvfNeive9Vs_10_000-20_000.wav,Does this audio indicate the presence of speech?,yes
dWkml_CdR5w_270_000-280_000.wav,Does this audio indicate the presence of speech?,no
dxlAZzCDkMc_20_000-30_000.wav,Does this audio indicate the presence of sniffle?,no
DYy-2zWKGVU_100_000-110_000.wav,Does this audio indicate the presence of silence?,yes
e12okVS6iCQ_17_000-27_000.wav,Does this audio indicate the presence of sneeze?,yes
e35sr6gOG9A_170_000-180_000.wav,Does this audio indicate the presence of cough?,yes
E4oZcZnb2Y0_80_000-90_000.wav,Does this audio indicate the presence of throat-clearing?,no
E9P8A5Rvtzk_0_000-10_000.wav,Does this audio indicate the presence of cough?,no
Ebl4NBkvH8Q_0_000-10_000.wav,Does this audio indicate the presence of throat-clearing?,no
EDr63MyYXYQ_10_000-20_000.wav,Does this audio indicate the presence of silence?,yes
eeGCmxvc6Us_60_000-70_000.wav,Does this audio indicate the presence of cough?,yes
EFLSw2wF1hc_50_000-60_000.wav,Does this audio indicate the presence of speech?,no
eFMExkx5v0Y_30_000-40_000.wav,Does this audio indicate the presence of throat-clearing?,no
Eg5qpG8obiI_410_000-420_000.wav,Does this audio indicate the presence of cough?,no
EHkBirU0gt4_340_000-350_000.wav,Does this audio indicate the presence of throat-clearing?,no
EI0puXPHHp0_30_000-40_000.wav,Does this audio indicate the presence of sniffle?,no
EksYlo1IXU0_340_000-350_000.wav,Does this audio indicate the presence of sneeze?,no
eL4TsYpwgAE_50_000-60_000.wav,Does this audio indicate the presence of sniffle?,no
eMFdwCv72T8_0_000-10_000.wav,Does this audio indicate the presence of cough?,No
eN5WDfSUvLQ_0_000-10_000.wav,Does this audio indicate the presence of speech?,yes
EoKHnNIjUCI_0_000-10_000.wav,Does this audio indicate the presence of speech?,no
eOxI9f9gvqo_0_000-10_000.wav,Does this audio indicate the presence of silence?,yes
EqG_E-eFov4_30_000-40_000.wav,Does this audio indicate the presence of silence?,yes
EQzYcBJ1Dec_100_000-110_000.wav,Does this audio indicate the presence of silence?,yes
Eq_VLzVJSIo_0_000-10_000.wav,Does this audio indicate the presence of sneeze?,no
EXHDkrFsA1A_60_000-70_000.wav,Does this audio indicate the presence of sneeze?,no
EY9WIUNU1qw_0_000-10_000.wav,Does this audio indicate the presence of cough?,no
F-UE7JLiEls_10_000-20_000.wav,Does this audio indicate the presence of silence?,yes
F3rdEV9lFdo_110_000-120_000.wav,Does this audio indicate the presence of sneeze?,yes
F8621NqQTUQ_120_000-130_000.wav,Does this audio indicate the presence of cough?,No
f8GAvKPNK8Y_20_000-30_000.wav,Does this audio indicate the presence of sneeze?,no
fDlIO__7vv0.wav,Does this audio indicate the presence of cough?,No
Fe_a7cS9LKg_430_000-440_000.wav,Does this audio indicate the presence of sneeze?,yes
Ff6rl7oz9kU_30_000-40_000.wav,Does this audio indicate the presence of cough?,No
ffRSeubjW-E_50_000-60_000.wav,Does this audio indicate the presence of speech?,yes
ffzr5De6ih0_20_000-30_000.wav,Does this audio indicate the presence of cough?,No
fIer0uCLqSM.wav,Does this audio indicate the presence of sneeze?,yes
fIvj2yZLcVg_40_000-50_000.wav,Does this audio indicate the presence of sneeze?,yes
fjaiGld-EWg_270_000-280_000.wav,Does this audio indicate the presence of silence?,yes
fJMcXN1UK9o_170_000-180_000.wav,Does this audio indicate the presence of speech?,no
FJYGjDZc86c_180_000-190_000.wav,Does this audio indicate the presence of silence?,yes
fkRg0axc_8U_20_000-30_000.wav,Does this audio indicate the presence of sniffle?,no
fLGJTNMY1p0_200_000-210_000.wav,Does this audio indicate the presence of throat-clearing?,no
FnA9n5Fy6xU_0_000-10_000.wav,Does this audio indicate the presence of cough?,no
fn_GWKXX0BY_100_000-110_000.wav,Does this audio indicate the presence of cough?,yes
ForlLmlrpXA_70_000-80_000.wav,Does this audio indicate the presence of cough?,no
FP5BcltzMlo_10_000-20_000.wav,Does this audio indicate the presence of silence?,yes
FpuF3uuV1U0_7_000-17_000.wav,Does this audio indicate the presence of sneeze?,yes
Fq_Dy9nMzHk_110_000-120_000.wav,Does this audio indicate the presence of sniffle?,no
fUBBh2iVC9U_210_000-220_000.wav,Does this audio indicate the presence of cough?,yes
func5eFFfQM_30_000-40_000.wav,Does this audio indicate the presence of throat-clearing?,yes
FuViqr6l2pU_20_000-30_000.wav,Does this audio indicate the presence of speech?,no
FvvtH4qSZKg_20_000-30_000.wav,Does this audio indicate the presence of sniffle?,yes
fVY2s4FU_pI_200_000-210_000.wav,Does this audio indicate the presence of speech?,yes
fXac_vRdFmU_10_000-20_000.wav,Does this audio indicate the presence of cough?,no
FZly4XoX_uE_170_000-180_000.wav,Does this audio indicate the presence of cough?,No
f_EcSxLmBno_11_000-21_000.wav,Does this audio indicate the presence of silence?,yes
G0BcR_SYQ4A_3_000-13_000.wav,Does this audio indicate the presence of sneeze?,no
G0fUcGxDHds_280_000-290_000.wav,Does this audio indicate the presence of cough?,No
g0l8ArPOTvA_90_000-100_000.wav,Does this audio indicate the presence of cough?,no
G76c9kIiKJw_30_000-40_000.wav,Does this audio indicate the presence of throat-clearing?,no
g7GsE05rPqQ_20_000-30_000.wav,Does this audio indicate the presence of cough?,no
G8RVnKABX3s_30_000-40_000.wav,Does this audio indicate the presence of sniffle?,no
g9djYQ-q9T0_30_000-40_000.wav,Does this audio indicate the presence of sneeze?,no
g9EGM-c3TbI_0_000-10_000.wav,Does this audio indicate the presence of throat-clearing?,no
GAUzQ8YHZSc_130_000-140_000.wav,Does this audio indicate the presence of silence?,yes
gBAhZhmhU6g_0_000-10_000.wav,Does this audio indicate the presence of cough?,no
gbbjGQnv7jI_0_000-10_000.wav,Does this audio indicate the presence of sniffle?,no
GbD3F5S_4cQ_160_000-170_000.wav,Does this audio indicate the presence of throat-clearing?,no
GBmLWnjHIvU_130_000-140_000.wav,Does this audio indicate the presence of speech?,yes
GCUK7s5QsNc_40_000-50_000.wav,Does this audio indicate the presence of sniffle?,no
gCYap0uxGjE_10_000-20_000.wav,Does this audio indicate the presence of sneeze?,no
gDBxxY2VWy8_0_000-10_000.wav,Does this audio indicate the presence of throat-clearing?,no
GEZfs1Jq7KI_460_000-470_000.wav,Does this audio indicate the presence of sniffle?,no
gf4x4wChQJ0_20_000-30_000.wav,Does this audio indicate the presence of speech?,yes
gFtJiTh6EM8_20_000-30_000.wav,Does this audio indicate the presence of silence?,yes
GgapMUN222Q_90_000-100_000.wav,Does this audio indicate the presence of cough?,no
gGp5LaM7DUs_40_000-50_000.wav,Does this audio indicate the presence of speech?,no
gGwKjVmOdok_10_000-20_000.wav,Does this audio indicate the presence of cough?,yes
GHlEKCM-p9w_17_000-27_000.wav,Does this audio indicate the presence of cough?,no
gk6_0RcFc0A_10_000-20_000.wav,Does this audio indicate the presence of throat-clearing?,no
Gk7SshHndEw_0_000-10_000.wav,Does this audio indicate the presence of sniffle?,no
gljc73BfR-I_30_000-40_000.wav,Does this audio indicate the presence of cough?,no
gM4vFz4Zxtk_20_000-30_000.wav,Does this audio indicate the presence of speech?,yes
GNhSvIOe4m4_0_000-10_000.wav,Does this audio indicate the presence of cough?,yes
Gomf_A45vmE_170_000-180_000.wav,Does this audio indicate the presence of silence?,yes
GOTpllAaJe4_0_000-10_000.wav,Does this audio indicate the presence of silence?,yes
GP5IqOTtB34_0_000-10_000.wav,Does this audio indicate the presence of sniffle?,no
GQ8QdFix5Do_20_000-30_000.wav,Does this audio indicate the presence of speech?,yes
GUe7-6bPe_s_1_000-11_000.wav,Does this audio indicate the presence of sneeze?,yes
gus1GHeS7IE_0_000-10_000.wav,Does this audio indicate the presence of speech?,yes
gvGLttTUjDM_170_000-180_000.wav,Does this audio indicate the presence of cough?,no
Gvt1_XWFasM_0_000-10_000.wav,Does this audio indicate the presence of silence?,yes
GwBcbAsgJa8_100_000-110_000.wav,Does this audio indicate the presence of cough?,no
GwitHkHlTJU_190_000-200_000.wav,Does this audio indicate the presence of silence?,yes
GXLEKU6K1uI_40_000-50_000.wav,Does this audio indicate the presence of speech?,yes
gyF_tG0M9cM_10_000-20_000.wav,Does this audio indicate the presence of sniffle?,no
gZksfKZ-YGw_0_000-10_000.wav,Does this audio indicate the presence of speech?,yes
H09kOHdxay8_210_000-220_000.wav,Does this audio indicate the presence of cough?,no
h2ZgzMe6pqc_60_000-70_000.wav,Does this audio indicate the presence of cough?,no
h31q1F4HeD4_50_000-60_000.wav,Does this audio indicate the presence of cough?,yes
H6dwenCqdq4_280_000-290_000.wav,Does this audio indicate the presence of cough?,yes
H7h37j9fiBc_40_000-50_000.wav,Does this audio indicate the presence of sniffle?,no
h8D0rjoXQMY_70_000-80_000.wav,Does this audio indicate the presence of cough?,yes
H9LVTHn93xI_240_000-250_000.wav,Does this audio indicate the presence of sniffle?,yes
HAfXAoYSPUY_290_000-300_000.wav,Does this audio indicate the presence of throat-clearing?,no
hd2yDnpnkUU_100_000-110_000.wav,Does this audio indicate the presence of silence?,yes
hdjEGRZDKEk_0_000-10_000.wav,Does this audio indicate the presence of silence?,yes
hDqlvsbStSU_0_000-10_000.wav,Does this audio indicate the presence of sneeze?,no
HEKKh5yZ1s8_200_000-210_000.wav,Does this audio indicate the presence of cough?,No
HG594BCWfSc_0_000-10_000.wav,Does this audio indicate the presence of speech?,yes
hgV30bUekek_0_000-10_000.wav,Does this audio indicate the presence of speech?,yes
hHZDpZecn_0_10_000-20_000.wav,Does this audio indicate the presence of speech?,yes
HiiTmKGGg8g_7_000-17_000.wav,Does this audio indicate the presence of sneeze?,no
hIN-LwWLuyM_80_000-90_000.wav,Does this audio indicate the presence of cough?,yes
hkcxCXz_m5s_40_000-50_000.wav,Does this audio indicate the presence of cough?,yes
HKTZ-GafNPg_10_000-20_000.wav,Does this audio indicate the presence of cough?,yes
HkyIJ52qIRU_20_000-30_000.wav,Does this audio indicate the presence of sneeze?,no
HLxIwN7KAks_20_000-30_000.wav,Does this audio indicate the presence of sniffle?,no
hmDLx9kgdo8_30_000-40_000.wav,Does this audio indicate the presence of sneeze?,no
HMnF8n9c5-Y.wav,Does this audio indicate the presence of cough?,no
hNysx-WNVzY_160_000-170_000.wav,Does this audio indicate the presence of cough?,no
hovQK26tr5U_120_000-130_000.wav,Does this audio indicate the presence of sniffle?,no
hQMkT2YEnNA.wav,Does this audio indicate the presence of throat-clearing?,no
hqtGOGfZaOI_30_000-40_000.wav,Does this audio indicate the presence of cough?,no
hW4KM7BUe7w_40_000-50_000.wav,Does this audio indicate the presence of sneeze?,no
hwUSReA7JOc_20_000-30_000.wav,Does this audio indicate the presence of speech?,no
hyXmrD82hLU_210_000-220_000.wav,Does this audio indicate the presence of speech?,yes
I4yobh5UfGA_0_000-5_000.wav,Does this audio indicate the presence of silence?,yes
I8Af3ncHGJU_170_000-180_000.wav,Does this audio indicate the presence of sniffle?,yes
i8g4jROxGeM_430_000-440_000.wav,Does this audio indicate the presence of silence?,yes
IAUOYg9aPUM_160_000-170_000.wav,Does this audio indicate the presence of speech?,yes
IBcyqQ_MI4Y_40_000-50_000.wav,Does this audio indicate the presence of cough?,yes
iBWk_JObbbM_0_000-10_000.wav,Does this audio indicate the presence of speech?,yes
iDx8Q861iio_14_000-24_000.wav,Does this audio indicate the presence of sniffle?,no
id_6_rwM_j4_0_000-10_000.wav,Does this audio indicate the presence of silence?,yes
iEFUSZ4sQeY_20_000-30_000.wav,Does this audio indicate the presence of sneeze?,no
IE_6K-ZfI64_10_000-20_000.wav,Does this audio indicate the presence of cough?,yes
iFkPdioXnCQ_40_000-50_000.wav,Does this audio indicate the presence of cough?,No
IfShh9nos4s_0_000-10_000.wav,Does this audio indicate the presence of speech?,no
Ig1BY5XogIc_40_000-50_000.wav,Does this audio indicate the presence of silence?,yes
igk8O6OfwdQ_90_000-100_000.wav,Does this audio indicate the presence of sneeze?,no
iHJoLgjAZPE_40_000-50_000.wav,Does this audio indicate the presence of cough?,no
Ihx2s18gICM_0_000-6_000.wav,Does this audio indicate the presence of sneeze?,yes
iHYa6cteK6U_230_000-240_000.wav,Does this audio indicate the presence of cough?,yes
ii24sGs0oPY_140_000-150_000.wav,Does this audio indicate the presence of silence?,yes
ilrvvuXsr8U_30_000-40_000.wav,Does this audio indicate the presence of sniffle?,no
IN6FFTlq_8c.wav,Does this audio indicate the presence of speech?,yes
ipKCHDizaQI_30_000-40_000.wav,Does this audio indicate the presence of speech?,yes
irG-554yRxY_0_000-10_000.wav,Does this audio indicate the presence of sniffle?,no
IRRdp1HCRKs_12_000-22_000.wav,Does this audio indicate the presence of speech?,no
is7iUfqD5FE_110_000-120_000.wav,Does this audio indicate the presence of cough?,no
IsWDdGBeR6E_30_000-40_000.wav,Does this audio indicate the presence of sneeze?,no
ItnOPd_CktY_20_000-30_000.wav,Does this audio indicate the presence of speech?,yes
iUtE4nRvBsM.wav,Does this audio indicate the presence of speech?,yes
ivftkMSwp5A_60_000-70_000.wav,Does this audio indicate the presence of silence?,yes
ivViliT3zqM_420_000-430_000.wav,Does this audio indicate the presence of speech?,yes
IwQFUAPEk70.wav,Does this audio indicate the presence of sniffle?,no
iXn336f4zD0_30_000-40_000.wav,Does this audio indicate the presence of sneeze?,yes
iY7wnpb8L6g_1_000-11_000.wav,Does this audio indicate the presence of cough?,no
iYaQHovnw_c_260_000-270_000.wav,Does this audio indicate the presence of speech?,no
IYllzXfvkmY.wav,Does this audio indicate the presence of sneeze?,no
IzPMbIll3LE.wav,Does this audio indicate the presence of cough?,No
IZShe6pGKUs_0_000-10_000.wav,Does this audio indicate the presence of cough?,yes
J-ZZryxwrrc_0_000-10_000.wav,Does this audio indicate the presence of cough?,no
j0VnD6MrOjc.wav,Does this audio indicate the presence of cough?,yes
J2clp3ivBeg_240_000-250_000.wav,Does this audio indicate the presence of cough?,No
J2oHzDXHR8c_460_000-470_000.wav,Does this audio indicate the presence of silence?,yes
j4e1wHFEbaA_10_000-20_000.wav,Does this audio indicate the presence of sniffle?,no
j4zq7JrCET0_80_000-90_000.wav,Does this audio indicate the presence of cough?,yes
J5zkGAdLjO4_40_000-50_000.wav,Does this audio indicate the presence of throat-clearing?,no
J6_hvIunXnU.wav,Does this audio indicate the presence of sniffle?,no
j7MwYU5VH1s_70_000-80_000.wav,Does this audio indicate the presence of sniffle?,no
J9-8UnXWWf8_210_000-220_000.wav,Does this audio indicate the presence of sniffle?,yes
JA5_LywrTwk_80_000-90_000.wav,Does this audio indicate the presence of sniffle?,no
jADmW7R63yI_60_000-70_000.wav,Does this audio indicate the presence of silence?,yes
JBqwe7ycNJ8_120_000-130_000.wav,Does this audio indicate the presence of speech?,yes
JDfzEWnrq1g_100_000-110_000.wav,Does this audio indicate the presence of cough?,yes
JdMje98ZhLE_41_000-51_000.wav,Does this audio indicate the presence of speech?,yes
JDYmB0IPwdY_20_000-30_000.wav,Does this audio indicate the presence of cough?,no
JKUSKYdYo9w.wav,Does this audio indicate the presence of cough?,yes
jl8WnXpBHlc_20_000-30_000.wav,Does this audio indicate the presence of sneeze?,yes
JlRG_Y8Arnk_90_000-100_000.wav,Does this audio indicate the presence of throat-clearing?,no
JLtieDCSa6Y.wav,Does this audio indicate the presence of sneeze?,no
jMyY06bjVRA_80_000-90_000.wav,Does this audio indicate the presence of speech?,yes
Jogry7CVLzA_7_000-17_000.wav,Does this audio indicate the presence of sneeze?,yes
jORnUojz4oI_10_000-20_000.wav,Does this audio indicate the presence of sneeze?,yes
jQD7zwuQYxY_22_000-32_000.wav,Does this audio indicate the presence of throat-clearing?,no
jUbHiX3EFKA_18_000-28_000.wav,Does this audio indicate the presence of throat-clearing?,no
jxJh2KUReyQ_80_000-90_000.wav,Does this audio indicate the presence of silence?,yes
jYZ__Oi9V2U_3_000-13_000.wav,Does this audio indicate the presence of speech?,yes
jZyqNN6WCiw_20_000-30_000.wav,Does this audio indicate the presence of cough?,No
k4IeljH1Leg_0_000-10_000.wav,Does this audio indicate the presence of cough?,yes
K6Ff4JRgj0s_30_000-40_000.wav,Does this audio indicate the presence of sniffle?,no
K7-P2PyLXVk_130_000-140_000.wav,Does this audio indicate the presence of cough?,No
K7k1tH72E4k.wav,Does this audio indicate the presence of cough?,yes
kASj4GYFWBE_110_000-120_000.wav,Does this audio indicate the presence of sniffle?,no
KbIw9tsxoUk_10_000-20_000.wav,Does this audio indicate the presence of cough?,yes
kcqnU46qIxw_70_000-80_000.wav,Does this audio indicate the presence of silence?,yes
kc_EQ3mPiG0_10_000-20_000.wav,Does this audio indicate the presence of sniffle?,yes
Kg7YdqBtqYc_0_000-9_000.wav,Does this audio indicate the presence of cough?,No
kGStUSW6xpc_50_000-60_000.wav,Does this audio indicate the presence of sniffle?,no
khC7ed0_Kvs.wav,Does this audio indicate the presence of throat-clearing?,no
KKsltQhn-FE_330_000-340_000.wav,Does this audio indicate the presence of sneeze?,yes
kL_-XdzJQ3g.wav,Does this audio indicate the presence of sniffle?,no
kmfFzx0vPL4_130_000-140_000.wav,Does this audio indicate the presence of throat-clearing?,no
kOheqjodDmw.wav,Does this audio indicate the presence of speech?,yes
koLleeAndnY_60_000-70_000.wav,Does this audio indicate the presence of throat-clearing?,no
KoUw2T0QKgY_70_000-80_000.wav,Does this audio indicate the presence of cough?,no
KQdTp3XploQ_20_000-30_000.wav,Does this audio indicate the presence of cough?,yes
KygTjGoFJHc_10_000-20_000.wav,Does this audio indicate the presence of sniffle?,no
KyorpiOYtHU_30_000-40_000.wav,Does this audio indicate the presence of speech?,no
KYXkh8Z9JVs_190_000-200_000.wav,Does this audio indicate the presence of cough?,no
KZVVntxx99s_10_000-20_000.wav,Does this audio indicate the presence of sniffle?,no
k_ry9us3pAQ_90_000-100_000.wav,Does this audio indicate the presence of speech?,no
L-YMkXgbKJk_50_000-60_000.wav,Does this audio indicate the presence of cough?,yes
l0bXGRHdWXQ_70_000-80_000.wav,Does this audio indicate the presence of speech?,no
L4ntr1A5Euw_60_000-70_000.wav,Does this audio indicate the presence of cough?,No
l4t0sPybWEc_10_000-20_000.wav,Does this audio indicate the presence of cough?,yes
L76160fJoNc_40_000-50_000.wav,Does this audio indicate the presence of speech?,no
l7fSQ6fluVg_340_000-350_000.wav,Does this audio indicate the presence of sneeze?,no
l7LdZLdly_Q_50_000-60_000.wav,Does this audio indicate the presence of speech?,no
l9yY9jY4fwk_190_000-200_000.wav,Does this audio indicate the presence of throat-clearing?,no
lBcxTNg7Aog_30_000-40_000.wav,Does this audio indicate the presence of sniffle?,no
